UID          PID    PPID  C STIME TTY          TIME CMD
andrewm+    1717    1565  0 17:18 ?        00:00:00 /usr/libexec/ibus-engine-simple
andrewm+    1751    1248  0 17:18 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
andrewm+    1783    1248  0 17:18 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
andrewm+    1826    1248  0 17:18 ?        00:00:00 /usr/libexec/gvfsd-metadata
andrewm+    1871    1248  0 17:18 ?        00:00:05 /usr/libexec/gnome-terminal-server
andrewm+    1889    1871  0 17:18 pts/0    00:00:00 bash
root        1900    1889  0 17:18 pts/0    00:00:00 su
root        1905    1900  0 17:18 pts/0    00:00:00 bash
andrewm+    2005    1381  0 17:19 ?        00:00:00 update-notifier
andrewm+    2252    1427  0 17:20 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.Z7GO41 -listen 4 -listen 5 -displayfd 6 -initfd 7
andrewm+    2255    1248  0 17:20 ?        00:00:00 /usr/libexec/gsd-xsettings
andrewm+    2282    1248  0 17:20 ?        00:00:00 /usr/libexec/ibus-x11
andrewm+    2981    1248  0 17:26 ?        00:00:00 /usr/bin/nautilus --gapplication-service
root        3007       2  0 17:26 ?        00:00:02 [kworker/0:0-cgroup_destroy]
root        3672       2  0 17:45 ?        00:00:00 [kworker/u2:0-events_unbound]
andrewm+    3690    1427  0 17:45 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        3730       2  0 17:46 ?        00:00:00 [kworker/0:2-events]
root        3993    1905  0 17:50 pts/0    00:00:00 ps -ef
